,DAY,OFNS_DESC,COUNT
1402,29, ROBBERY,1551
1304,27, ROBBERY,1550
876,18, ROBBERY,1538
184,4, ROBBERY,1534
431,9, ROBBERY,1529
332,7, ROBBERY,1517
380,8, ROBBERY,1513
482,10, ROBBERY,1495
134,3, ROBBERY,1485
87,2, ROBBERY,1484
281,6, ROBBERY,1483
1450,30, ROBBERY,1478
202,5, DANGEROUS WEAPONS,1447
231,5, ROBBERY,1427
847,18, DANGEROUS WEAPONS,1403
798,17, DANGEROUS WEAPONS,1391
500,11, DANGEROUS WEAPONS,1388
398,9, DANGEROUS WEAPONS,1350
104,3, DANGEROUS WEAPONS,1339
152,4, DANGEROUS WEAPONS,1325
894,19, DANGEROUS WEAPONS,1323
11,1, DANGEROUS WEAPONS,1321
349,8, DANGEROUS WEAPONS,1317
551,12, DANGEROUS WEAPONS,1314
249,6, DANGEROUS WEAPONS,1313
941,20, DANGEROUS WEAPONS,1309
601,13, DANGEROUS WEAPONS,1303
700,15, DANGEROUS WEAPONS,1301
1130,24, BURGLARY,1296
650,14, DANGEROUS WEAPONS,1293
749,16, DANGEROUS WEAPONS,1290
449,10, DANGEROUS WEAPONS,1288
994,21, DANGEROUS WEAPONS,1277
299,7, DANGEROUS WEAPONS,1265
1135,24, DANGEROUS WEAPONS,1259
1083,23, BURGLARY,1253
1042,22, DANGEROUS WEAPONS,1239
1222,26, BURGLARY,1234
989,21, BURGLARY,1233
57,2, DANGEROUS WEAPONS,1229
1273,27, DANGEROUS WEAPONS,1225
1227,26, DANGEROUS WEAPONS,1225
1177,25, BURGLARY,1217
889,19, BURGLARY,1211
1320,28, DANGEROUS WEAPONS,1208
444,10, BURGLARY,1205
344,8, BURGLARY,1205
1268,27, BURGLARY,1194
936,20, BURGLARY,1193
842,18, BURGLARY,1187
1088,23, DANGEROUS WEAPONS,1180
1182,25, DANGEROUS WEAPONS,1178
695,15, BURGLARY,1177
1037,22, BURGLARY,1175
495,11, BURGLARY,1165
793,17, BURGLARY,1160
1483,31, OFF. AGNST PUB ORD SENSBLTY &,1158
294,7, BURGLARY,1154
744,16, BURGLARY,1151
28,1, OFFENSES AGAINST PUBLIC ADMINI,1147
817,17, OFFENSES AGAINST PUBLIC ADMINI,1147
147,4, BURGLARY,1147
269,6, OFFENSES AGAINST PUBLIC ADMINI,1145
197,5, BURGLARY,1143
596,13, BURGLARY,1143
1315,28, BURGLARY,1138
1475,31, GRAND LARCENY,1136
546,12, BURGLARY,1136
1362,29, BURGLARY,1135
645,14, BURGLARY,1125
220,5, OFFENSES AGAINST PUBLIC ADMINI,1117
52,2, BURGLARY,1116
1419,30, DANGEROUS WEAPONS,1111
621,13, OFFENSES AGAINST PUBLIC ADMINI,1111
769,16, OFFENSES AGAINST PUBLIC ADMINI,1110
963,20, OFFENSES AGAINST PUBLIC ADMINI,1109
369,8, OFFENSES AGAINST PUBLIC ADMINI,1108
172,4, OFFENSES AGAINST PUBLIC ADMINI,1104
