,DAY,OFNS_DESC,COUNT
147,4, ROBBERY,150
488,14, DANGEROUS WEAPONS,150
1100,31, BURGLARY,149
848,24, DANGEROUS WEAPONS,149
1091,30, ROBBERY,148
134,4, MISCELLANEOUS PENAL LAW,148
550,15, THEFT-FRAUD,148
549,15, ROBBERY,147
815,23, DANGEROUS WEAPONS,146
1005,28, MISCELLANEOUS PENAL LAW,145
884,25, DANGEROUS WEAPONS,145
783,22, GRAND LARCENY OF MOTOR VEHICLE,145
859,24, MISCELLANEOUS PENAL LAW,144
221,6, ROBBERY,143
399,11, ROBBERY,143
752,21, MISCELLANEOUS PENAL LAW,141
669,19, DANGEROUS WEAPONS,140
49,2, DANGEROUS WEAPONS,140
923,26, DANGEROUS WEAPONS,140
328,9, ROBBERY,139
203,6, GRAND LARCENY OF MOTOR VEHICLE,139
475,13, ROBBERY,138
1068,30, DANGEROUS WEAPONS,138
640,18, GRAND LARCENY OF MOTOR VEHICLE,137
969,27, MISCELLANEOUS PENAL LAW,137
892,25, GRAND LARCENY OF MOTOR VEHICLE,136
712,20, GRAND LARCENY OF MOTOR VEHICLE,136
197,6, DANGEROUS WEAPONS,135
748,21, GRAND LARCENY OF MOTOR VEHICLE,134
1031,29, DANGEROUS WEAPONS,134
765,21, ROBBERY,134
821,23, GRAND LARCENY OF MOTOR VEHICLE,134
855,24, GRAND LARCENY OF MOTOR VEHICLE,134
16,1, GRAND LARCENY OF MOTOR VEHICLE,133
1074,30, GRAND LARCENY OF MOTOR VEHICLE,132
183,5, ROBBERY,131
1002,28, GRAND LARCENY OF MOTOR VEHICLE,130
435,12, ROBBERY,130
436,12, THEFT-FRAUD,130
959,27, DANGEROUS WEAPONS,130
495,14, GRAND LARCENY OF MOTOR VEHICLE,130
257,7, THEFT-FRAUD,130
569,16, GRAND LARCENY OF MOTOR VEHICLE,127
983,27, THEFT-FRAUD,127
533,15, GRAND LARCENY OF MOTOR VEHICLE,127
128,4, GRAND LARCENY OF MOTOR VEHICLE,126
382,11, GRAND LARCENY OF MOTOR VEHICLE,126
348,10, GRAND LARCENY OF MOTOR VEHICLE,125
363,10, THEFT-FRAUD,125
276,8, GRAND LARCENY OF MOTOR VEHICLE,125
93,3, GRAND LARCENY OF MOTOR VEHICLE,123
54,2, GRAND LARCENY OF MOTOR VEHICLE,123
995,28, DANGEROUS WEAPONS,122
730,20, THEFT-FRAUD,120
329,9, THEFT-FRAUD,120
455,13, GRAND LARCENY OF MOTOR VEHICLE,119
621,17, THEFT-FRAUD,119
1038,29, GRAND LARCENY OF MOTOR VEHICLE,119
312,9, GRAND LARCENY OF MOTOR VEHICLE,118
241,7, GRAND LARCENY OF MOTOR VEHICLE,117
148,4, THEFT-FRAUD,115
417,12, GRAND LARCENY OF MOTOR VEHICLE,114
1116,31, OFFENSES AGAINST PUBLIC ADMINI,114
167,5, GRAND LARCENY OF MOTOR VEHICLE,113
476,13, THEFT-FRAUD,113
184,5, THEFT-FRAUD,112
587,16, THEFT-FRAUD,110
872,24, THEFT-FRAUD,110
675,19, GRAND LARCENY OF MOTOR VEHICLE,110
928,26, GRAND LARCENY OF MOTOR VEHICLE,109
1111,31, INTOXICATED & IMPAIRED DRIVING,107
513,14, THEFT-FRAUD,106
52,2, FRAUDS,106
567,16, FRAUDS,106
766,21, THEFT-FRAUD,105
400,11, THEFT-FRAUD,105
694,19, THEFT-FRAUD,105
530,15, FRAUDS,105
605,17, GRAND LARCENY OF MOTOR VEHICLE,105
1056,29, THEFT-FRAUD,105
72,2, THEFT-FRAUD,105
802,22, THEFT-FRAUD,105
1092,30, THEFT-FRAUD,104
910,25, THEFT-FRAUD,103
111,3, THEFT-FRAUD,103
965,27, GRAND LARCENY OF MOTOR VEHICLE,103
293,8, THEFT-FRAUD,102
657,18, THEFT-FRAUD,102
222,6, THEFT-FRAUD,100
837,23, THEFT-FRAUD,99
89,3, FRAUDS,99
1126,31, ROBBERY,98
415,12, FRAUDS,98
946,26, THEFT-FRAUD,97
709,20, FRAUDS,96
453,13, FRAUDS,96
1105,31, FELONY ASSAULT,96
1104,31, DANGEROUS WEAPONS,95
637,18, FRAUDS,93
344,10, FRAUDS,92
379,11, FRAUDS,92
602,17, FRAUDS,92
673,19, FRAUDS,91
963,27, FRAUDS,88
238,7, FRAUDS,88
1019,28, THEFT-FRAUD,88
818,23, FRAUDS,87
853,24, FRAUDS,87
165,5, FRAUDS,86
309,9, FRAUDS,86
746,21, FRAUDS,86
201,6, FRAUDS,86
1113,31, MISCELLANEOUS PENAL LAW,85
780,22, FRAUDS,83
999,28, FRAUDS,82
126,4, FRAUDS,81
492,14, FRAUDS,81
888,25, FRAUDS,79
1036,29, FRAUDS,75
1072,30, FRAUDS,74
274,8, FRAUDS,72
874,24, VEHICLE AND TRAFFIC LAWS,71
36,1, UNAUTHORIZED USE OF A VEHICLE,68
525,15, CRIMINAL TRESPASS,67
926,26, FRAUDS,64
8,1, CRIMINAL TRESPASS,64
515,14, VEHICLE AND TRAFFIC LAWS,62
732,20, VEHICLE AND TRAFFIC LAWS,62
438,12, VEHICLE AND TRAFFIC LAWS,61
805,22, VEHICLE AND TRAFFIC LAWS,61
74,2, VEHICLE AND TRAFFIC LAWS,60
73,2, UNAUTHORIZED USE OF A VEHICLE,60
38,1, VEHICLE AND TRAFFIC LAWS,59
921,26, CRIMINAL TRESPASS,59
667,19, CRIMINAL TRESPASS,59
551,15, UNAUTHORIZED USE OF A VEHICLE,59
186,5, VEHICLE AND TRAFFIC LAWS,59
696,19, VEHICLE AND TRAFFIC LAWS,58
195,6, CRIMINAL TRESPASS,57
224,6, VEHICLE AND TRAFFIC LAWS,57
486,14, CRIMINAL TRESPASS,57
1109,31, GRAND LARCENY OF MOTOR VEHICLE,57
775,22, CRIMINAL TRESPASS,56
150,4, VEHICLE AND TRAFFIC LAWS,56
113,3, VEHICLE AND TRAFFIC LAWS,56
1021,28, VEHICLE AND TRAFFIC LAWS,55
159,5, CRIMINAL TRESPASS,55
1127,31, THEFT-FRAUD,54
294,8, UNAUTHORIZED USE OF A VEHICLE,54
846,24, CRIMINAL TRESPASS,53
1066,30, CRIMINAL TRESPASS,53
1094,30, VEHICLE AND TRAFFIC LAWS,53
295,8, VEHICLE AND TRAFFIC LAWS,52
870,24, POSSESSION OF STOLEN PROPERTY,52
452,13, FORGERY,52
912,25, VEHICLE AND TRAFFIC LAWS,52
552,15, VEHICLE AND TRAFFIC LAWS,52
631,18, CRIMINAL TRESPASS,51
12,1, FORGERY,50
636,18, FORGERY,50
529,15, FORGERY,50
1029,29, CRIMINAL TRESPASS,49
273,8, FORGERY,49
585,16, POSSESSION OF STOLEN PROPERTY,49
268,8, CRIMINAL TRESPASS,49
473,13, POSSESSION OF STOLEN PROPERTY,49
331,9, VEHICLE AND TRAFFIC LAWS,49
948,26, VEHICLE AND TRAFFIC LAWS,49
185,5, UNAUTHORIZED USE OF A VEHICLE,49
984,27, UNAUTHORIZED USE OF A VEHICLE,49
817,23, FORGERY,48
839,23, VEHICLE AND TRAFFIC LAWS,48
410,12, CRIMINAL TRESPASS,48
659,18, VEHICLE AND TRAFFIC LAWS,48
589,16, VEHICLE AND TRAFFIC LAWS,47
402,11, VEHICLE AND TRAFFIC LAWS,47
741,21, CRIMINAL TRESPASS,47
303,9, CRIMINAL TRESPASS,47
882,25, CRIMINAL TRESPASS,47
51,2, FORGERY,46
601,17, FORGERY,46
112,3, UNAUTHORIZED USE OF A VEHICLE,46
47,2, CRIMINAL TRESPASS,46
703,20, CRIMINAL TRESPASS,46
478,13, VEHICLE AND TRAFFIC LAWS,46
365,10, VEHICLE AND TRAFFIC LAWS,46
768,21, VEHICLE AND TRAFFIC LAWS,46
560,16, CRIMINAL TRESPASS,46
1107,31, FRAUDS,46
237,7, FORGERY,46
566,16, FORGERY,45
745,21, FORGERY,45
327,9, POSSESSION OF STOLEN PROPERTY,45
291,8, POSSESSION OF STOLEN PROPERTY,45
373,11, CRIMINAL TRESPASS,44
622,17, UNAUTHORIZED USE OF A VEHICLE,44
887,25, FORGERY,44
596,17, CRIMINAL TRESPASS,44
985,27, VEHICLE AND TRAFFIC LAWS,44
