,DAY,OFNS_DESC,COUNT
1185,21, OFF. AGNST PUB ORD SENSBLTY &,9519
440,8, OFF. AGNST PUB ORD SENSBLTY &,9486
1527,27, OFF. AGNST PUB ORD SENSBLTY &,9482
1679,30, DANGEROUS DRUGS,9477
1358,24, OFF. AGNST PUB ORD SENSBLTY &,9396
614,11, OFF. AGNST PUB ORD SENSBLTY &,9376
1242,22, OFF. AGNST PUB ORD SENSBLTY &,9371
1298,23, OFF. AGNST PUB ORD SENSBLTY &,9341
1073,19, OFF. AGNST PUB ORD SENSBLTY &,9330
1468,26, OFF. AGNST PUB ORD SENSBLTY &,9227
1746,31, GRAND LARCENY,8863
1704,30, OFF. AGNST PUB ORD SENSBLTY &,8861
1647,29, OFF. AGNST PUB ORD SENSBLTY &,8721
18,1, FELONY ASSAULT,7559
1144,20, ROBBERY,7133
52,1, ROBBERY,7100
1313,23, ROBBERY,7088
1270,23, BURGLARY,7000
1198,21, ROBBERY,6995
1255,22, ROBBERY,6980
1600,28, ROBBERY,6977
1372,24, ROBBERY,6956
857,15, ROBBERY,6933
1029,18, ROBBERY,6884
1329,24, BURGLARY,6875
1101,20, BURGLARY,6862
1542,27, ROBBERY,6859
915,16, ROBBERY,6854
686,12, ROBBERY,6849
743,13, ROBBERY,6838
1158,21, BURGLARY,6831
1087,19, ROBBERY,6825
1482,26, ROBBERY,6812
397,7, ROBBERY,6802
628,11, ROBBERY,6792
1427,25, ROBBERY,6784
1212,22, BURGLARY,6774
247,5, FELONY ASSAULT,6761
929,17, BURGLARY,6759
568,10, ROBBERY,6744
799,14, ROBBERY,6728
1395,25, FELONY ASSAULT,6727
165,3, ROBBERY,6718
1565,28, FELONY ASSAULT,6708
1556,28, BURGLARY,6701
525,10, BURGLARY,6678
814,15, BURGLARY,6677
511,9, ROBBERY,6659
223,4, ROBBERY,6656
971,17, ROBBERY,6651
190,4, FELONY ASSAULT,6649
642,12, BURGLARY,6638
1043,19, BURGLARY,6637
986,18, BURGLARY,6629
453,8, ROBBERY,6623
1660,29, ROBBERY,6619
1168,21, FELONY ASSAULT,6612
757,14, BURGLARY,6608
701,13, BURGLARY,6607
939,17, FELONY ASSAULT,6597
1496,27, BURGLARY,6590
363,7, FELONY ASSAULT,6587
872,16, BURGLARY,6584
1450,26, FELONY ASSAULT,6583
1506,27, FELONY ASSAULT,6579
1338,24, FELONY ASSAULT,6579
107,2, ROBBERY,6575
122,3, BURGLARY,6570
710,13, FELONY ASSAULT,6570
283,5, ROBBERY,6569
593,11, FELONY ASSAULT,6566
8,1, BURGLARY,6565
823,15, FELONY ASSAULT,6562
1111,20, FELONY ASSAULT,6556
652,12, FELONY ASSAULT,6555
338,6, ROBBERY,6551
1280,23, FELONY ASSAULT,6543
307,6, FELONY ASSAULT,6540
477,9, FELONY ASSAULT,6539
467,9, BURGLARY,6533
1718,30, ROBBERY,6531
535,10, FELONY ASSAULT,6526
1222,22, FELONY ASSAULT,6525
1441,26, BURGLARY,6511
76,2, FELONY ASSAULT,6510
1386,25, BURGLARY,6488
996,18, FELONY ASSAULT,6488
238,5, BURGLARY,6485
298,6, BURGLARY,6484
1053,19, FELONY ASSAULT,6484
583,11, BURGLARY,6462
180,4, BURGLARY,6449
411,8, BURGLARY,6440
353,7, BURGLARY,6438
882,16, FELONY ASSAULT,6438
767,14, FELONY ASSAULT,6410
132,3, FELONY ASSAULT,6405
66,2, BURGLARY,6369
421,8, FELONY ASSAULT,6317
1615,29, BURGLARY,6304
1685,30, FELONY ASSAULT,6297
1675,30, BURGLARY,6165
1625,29, FELONY ASSAULT,6097
1736,31, DANGEROUS DRUGS,5551
55,1, THEFT-FRAUD,5320
1759,31, OFF. AGNST PUB ORD SENSBLTY &,5276
36,1, MISCELLANEOUS PENAL LAW,4681
