,DAY,OFNS_DESC,COUNT
328,7, GRAND LARCENY OF MOTOR VEHICLE,1053
75,2, GRAND LARCENY OF MOTOR VEHICLE,1047
1478,30, GRAND LARCENY OF MOTOR VEHICLE,1035
1468,30, DANGEROUS WEAPONS,1023
237,5, OFFENSES AGAINST PUBLIC ADMINI,926
1532,31, MISCELLANEOUS PENAL LAW,918
85,2, OFFENSES AGAINST PUBLIC ADMINI,881
991,20, OFFENSES AGAINST PUBLIC ADMINI,881
641,13, OFFENSES AGAINST PUBLIC ADMINI,879
539,11, OFFENSES AGAINST PUBLIC ADMINI,873
186,4, OFFENSES AGAINST PUBLIC ADMINI,870
841,17, OFFENSES AGAINST PUBLIC ADMINI,867
34,1, OFFENSES AGAINST PUBLIC ADMINI,866
388,8, OFFENSES AGAINST PUBLIC ADMINI,859
288,6, OFFENSES AGAINST PUBLIC ADMINI,851
1041,21, OFFENSES AGAINST PUBLIC ADMINI,839
941,19, OFFENSES AGAINST PUBLIC ADMINI,839
490,10, OFFENSES AGAINST PUBLIC ADMINI,837
26,1, INTOXICATED & IMPAIRED DRIVING,830
742,15, OFFENSES AGAINST PUBLIC ADMINI,826
136,3, OFFENSES AGAINST PUBLIC ADMINI,825
832,17, INTOXICATED & IMPAIRED DRIVING,817
439,9, OFFENSES AGAINST PUBLIC ADMINI,809
339,7, OFFENSES AGAINST PUBLIC ADMINI,807
278,6, INTOXICATED & IMPAIRED DRIVING,807
1142,23, OFFENSES AGAINST PUBLIC ADMINI,807
592,12, OFFENSES AGAINST PUBLIC ADMINI,803
691,14, OFFENSES AGAINST PUBLIC ADMINI,800
1291,26, OFFENSES AGAINST PUBLIC ADMINI,799
634,13, INTOXICATED & IMPAIRED DRIVING,798
784,16, INTOXICATED & IMPAIRED DRIVING,797
481,10, INTOXICATED & IMPAIRED DRIVING,796
883,18, INTOXICATED & IMPAIRED DRIVING,793
734,15, INTOXICATED & IMPAIRED DRIVING,789
1082,22, INTOXICATED & IMPAIRED DRIVING,786
1391,28, OFFENSES AGAINST PUBLIC ADMINI,785
227,5, INTOXICATED & IMPAIRED DRIVING,783
583,12, INTOXICATED & IMPAIRED DRIVING,778
982,20, INTOXICATED & IMPAIRED DRIVING,777
791,16, OFFENSES AGAINST PUBLIC ADMINI,775
1032,21, INTOXICATED & IMPAIRED DRIVING,773
1193,24, OFFENSES AGAINST PUBLIC ADMINI,770
1242,25, OFFENSES AGAINST PUBLIC ADMINI,768
331,7, INTOXICATED & IMPAIRED DRIVING,763
130,3, INTOXICATED & IMPAIRED DRIVING,759
178,4, INTOXICATED & IMPAIRED DRIVING,756
1234,25, INTOXICATED & IMPAIRED DRIVING,755
932,19, INTOXICATED & IMPAIRED DRIVING,752
1134,23, INTOXICATED & IMPAIRED DRIVING,751
533,11, INTOXICATED & IMPAIRED DRIVING,751
1382,28, INTOXICATED & IMPAIRED DRIVING,750
891,18, OFFENSES AGAINST PUBLIC ADMINI,748
1090,22, OFFENSES AGAINST PUBLIC ADMINI,744
1340,27, OFFENSES AGAINST PUBLIC ADMINI,741
1332,27, INTOXICATED & IMPAIRED DRIVING,739
1487,30, OFFENSES AGAINST PUBLIC ADMINI,732
431,9, INTOXICATED & IMPAIRED DRIVING,731
380,8, INTOXICATED & IMPAIRED DRIVING,723
1283,26, INTOXICATED & IMPAIRED DRIVING,721
683,14, INTOXICATED & IMPAIRED DRIVING,718
77,2, INTOXICATED & IMPAIRED DRIVING,718
1439,29, OFFENSES AGAINST PUBLIC ADMINI,702
1184,24, INTOXICATED & IMPAIRED DRIVING,687
1480,30, INTOXICATED & IMPAIRED DRIVING,672
18,1, FRAUDS,667
1525,31, GRAND LARCENY OF MOTOR VEHICLE,651
1515,31, DANGEROUS WEAPONS,644
1432,29, INTOXICATED & IMPAIRED DRIVING,631
756,15, THEFT-FRAUD,623
51,1, VEHICLE AND TRAFFIC LAWS,593
356,7, VEHICLE AND TRAFFIC LAWS,590
657,13, VEHICLE AND TRAFFIC LAWS,578
254,5, VEHICLE AND TRAFFIC LAWS,574
857,17, VEHICLE AND TRAFFIC LAWS,568
405,8, VEHICLE AND TRAFFIC LAWS,566
100,2, THEFT-FRAUD,564
808,16, VEHICLE AND TRAFFIC LAWS,562
725,15, FORGERY,561
1005,20, THEFT-FRAUD,560
1408,28, VEHICLE AND TRAFFIC LAWS,560
609,12, VEHICLE AND TRAFFIC LAWS,560
1307,26, VEHICLE AND TRAFFIC LAWS,554
1007,20, VEHICLE AND TRAFFIC LAWS,550
575,12, FORGERY,546
707,14, VEHICLE AND TRAFFIC LAWS,545
825,17, FORGERY,544
506,10, VEHICLE AND TRAFFIC LAWS,544
907,18, VEHICLE AND TRAFFIC LAWS,544
556,11, VEHICLE AND TRAFFIC LAWS,544
957,19, VEHICLE AND TRAFFIC LAWS,543
102,2, VEHICLE AND TRAFFIC LAWS,542
1159,23, VEHICLE AND TRAFFIC LAWS,541
203,4, VEHICLE AND TRAFFIC LAWS,539
455,9, VEHICLE AND TRAFFIC LAWS,536
1056,21, VEHICLE AND TRAFFIC LAWS,530
472,10, FORGERY,530
525,11, FORGERY,529
758,15, VEHICLE AND TRAFFIC LAWS,529
252,5, THEFT-FRAUD,528
302,6, THEFT-FRAUD,527
1357,27, VEHICLE AND TRAFFIC LAWS,526
1210,24, VEHICLE AND TRAFFIC LAWS,524
271,6, FORGERY,523
627,13, FORGERY,523
974,20, FORGERY,522
875,18, FORGERY,520
1107,22, VEHICLE AND TRAFFIC LAWS,520
705,14, THEFT-FRAUD,520
1275,26, FORGERY,519
153,3, VEHICLE AND TRAFFIC LAWS,518
1074,22, FORGERY,517
305,6, VEHICLE AND TRAFFIC LAWS,516
