,DAY,OFNS_DESC,COUNT
320,7, MISCELLANEOUS PENAL LAW,935
125,3, MISCELLANEOUS PENAL LAW,933
659,14, MISCELLANEOUS PENAL LAW,932
1328,28, MISCELLANEOUS PENAL LAW,914
1039,22, MISCELLANEOUS PENAL LAW,911
1133,24, MISCELLANEOUS PENAL LAW,906
1284,27, MISCELLANEOUS PENAL LAW,885
1425,30, MISCELLANEOUS PENAL LAW,879
835,18, DANGEROUS WEAPONS,852
207,5, DANGEROUS WEAPONS,840
108,3, DANGEROUS WEAPONS,837
929,20, DANGEROUS WEAPONS,829
446,10, DANGEROUS WEAPONS,826
258,6, DANGEROUS WEAPONS,825
593,13, DANGEROUS WEAPONS,824
545,12, DANGEROUS WEAPONS,822
304,7, DANGEROUS WEAPONS,822
880,19, DANGEROUS WEAPONS,821
1481,31, ROBBERY,820
1376,29, MISCELLANEOUS PENAL LAW,813
544,12, DANGEROUS DRUGS,813
787,17, DANGEROUS WEAPONS,813
977,21, DANGEROUS WEAPONS,812
1072,23, DANGEROUS WEAPONS,805
495,11, DANGEROUS WEAPONS,802
353,8, DANGEROUS WEAPONS,801
445,10, DANGEROUS DRUGS,799
741,16, DANGEROUS WEAPONS,794
257,6, DANGEROUS DRUGS,794
1456,31, FELONY ASSAULT,785
592,13, DANGEROUS DRUGS,784
928,20, DANGEROUS DRUGS,782
400,9, DANGEROUS WEAPONS,780
399,9, DANGEROUS DRUGS,771
12,1, DANGEROUS WEAPONS,770
692,15, DANGEROUS DRUGS,767
641,14, DANGEROUS WEAPONS,766
158,4, DANGEROUS WEAPONS,765
1263,27, DANGEROUS WEAPONS,763
352,8, DANGEROUS DRUGS,762
62,2, DANGEROUS DRUGS,761
63,2, DANGEROUS WEAPONS,757
693,15, DANGEROUS WEAPONS,755
11,1, DANGEROUS DRUGS,752
206,5, DANGEROUS DRUGS,750
107,3, DANGEROUS DRUGS,748
786,17, DANGEROUS DRUGS,747
494,11, DANGEROUS DRUGS,746
1314,28, DANGEROUS WEAPONS,736
1024,22, DANGEROUS WEAPONS,729
157,4, DANGEROUS DRUGS,725
1071,23, DANGEROUS DRUGS,725
1215,26, DANGEROUS WEAPONS,724
740,16, DANGEROUS DRUGS,724
1360,29, DANGEROUS WEAPONS,724
1023,22, DANGEROUS DRUGS,715
1118,24, DANGEROUS WEAPONS,714
640,14, DANGEROUS DRUGS,712
834,18, DANGEROUS DRUGS,706
303,7, DANGEROUS DRUGS,701
1166,25, DANGEROUS WEAPONS,699
879,19, DANGEROUS DRUGS,694
1262,27, DANGEROUS DRUGS,693
976,21, DANGEROUS DRUGS,674
1313,28, DANGEROUS DRUGS,649
1117,24, DANGEROUS DRUGS,645
1409,30, DANGEROUS WEAPONS,642
1165,25, DANGEROUS DRUGS,625
1462,31, GRAND LARCENY OF MOTOR VEHICLE,618
1359,29, DANGEROUS DRUGS,618
1214,26, DANGEROUS DRUGS,617
800,17, INTOXICATED & IMPAIRED DRIVING,605
1408,30, DANGEROUS DRUGS,594
605,13, INTOXICATED & IMPAIRED DRIVING,590
171,4, INTOXICATED & IMPAIRED DRIVING,589
705,15, INTOXICATED & IMPAIRED DRIVING,589
845,18, INTOXICATED & IMPAIRED DRIVING,588
1467,31, MISCELLANEOUS PENAL LAW,587
1277,27, INTOXICATED & IMPAIRED DRIVING,583
1035,22, INTOXICATED & IMPAIRED DRIVING,579
655,14, INTOXICATED & IMPAIRED DRIVING,576
269,6, INTOXICATED & IMPAIRED DRIVING,572
557,12, INTOXICATED & IMPAIRED DRIVING,567
26,1, INTOXICATED & IMPAIRED DRIVING,567
1083,23, INTOXICATED & IMPAIRED DRIVING,567
754,16, INTOXICATED & IMPAIRED DRIVING,565
412,9, INTOXICATED & IMPAIRED DRIVING,561
220,5, INTOXICATED & IMPAIRED DRIVING,561
1177,25, INTOXICATED & IMPAIRED DRIVING,560
852,18, OFFENSES AGAINST PUBLIC ADMINI,558
1227,26, INTOXICATED & IMPAIRED DRIVING,557
806,17, OFFENSES AGAINST PUBLIC ADMINI,556
892,19, INTOXICATED & IMPAIRED DRIVING,555
949,20, OFFENSES AGAINST PUBLIC ADMINI,553
316,7, INTOXICATED & IMPAIRED DRIVING,553
417,9, OFFENSES AGAINST PUBLIC ADMINI,552
365,8, INTOXICATED & IMPAIRED DRIVING,551
227,5, OFFENSES AGAINST PUBLIC ADMINI,549
34,1, OFFENSES AGAINST PUBLIC ADMINI,549
988,21, INTOXICATED & IMPAIRED DRIVING,548
